שם החומר (עברית),Chemical Name (English),נוסחה כימית,מספר CAS,נקודת הבזק (°C),נקודת רתיחה (°C),LEL (%),UEL (%),טמפרטורת התלקחות עצמית (°C),לחץ אדים (mmHg @ 20°C),צפיפות יחסית (מים=1),צפיפות אדים (אוויר=1),מסיסות במים,pH (אם רלוונטי),קבוצת NFPA 400 ראשית,תת-קבוצה NFPA 400,קבוצות NFPA 400 נוספות,סיווג NFPA 30,Class NFPA 30,LC50 (ppm),LD50 (mg/kg),רמת סיכון בריאות NFPA,רמת דליקות NFPA,רמת תגובתיות NFPA,סיכונים מיוחדים NFPA,UN Number,Class DOT,Packing Group,הערות,"MAQ אחסון - מערכת סגורה (ק""ג/ליטר)","MAQ אחסון - מערכת פתוחה (ק""ג/ליטר)","MAQ שימוש - מערכת סגורה (ק""ג/ליטר)","MAQ שימוש - מערכת פתוחה (ק""ג/ליטר)","MAQ גז - אחסון (מ""ק)","MAQ גז - שימוש (מ""ק)",Protection Level,הערות MAQ,יחידות MAQ
טריברומיד זרחן,Phosphorus Tribromide,PBr₃,7789-60-8,לא דליק,173,,,,0.2,2.85,9.4,מגיב אלים,,לא דליק,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1808,8,I,כימיקלים,,,,,,,,,
אוקסיכלוריד זרחן (POCl3),Phosphorus Oxychloride,POCl₃,10025-87-3,לא דליק,106,,,,27,1.68,5.3,מגיב אלים,,לא דליק,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1810,8,I,פלסטיק,,,,,,,,,
תיוניל כלוריד,Thionyl Chloride,SOCl₂,7719-09-7,לא דליק,79,,,,82,1.64,4.1,מגיב אלים,,לא דליק,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1836,8,I,כימיקלים,,,,,,,,,
גופרית כלוריד,Sulfur Dichloride,SCl₂,10025-67-9,לא דליק,138,,,,7,1.69,4.7,מגיב אלים,,לא דליק,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1828,8,I,כימיקלים,,,,,,,,,
טריכלוריד בור,Boron Trichloride,BCl₃,10294-34-5,גז,12,,,,לא רלוונטי,1.35,4.04,מגיב אלים,,גז,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1741,2.3,,מוליכים למחצה,,,,,,,,,
טריפלואוריד בור,Boron Trifluoride,BF₃,7637-07-2,גז,-100,,,,לא רלוונטי,2.99,2.34,מגיב אלים,,גז רעיל,,קורוזיבי,לא רלוונטי,,,,4,0,0,COR,1008,2.3,,קטליזטור,227,227,4.5,4.5,113.5,113.5,3,Toxic Material,"מ""ק"
טריאתיל אמין,Triethylamine,C₆H₁₅N,121-44-8,-7,89,1.2,8.0,249,54,0.73,3.49,מסיס מעט,10.7,נוזלים דליקים,Class IB,קורוזיבי,נוזל דליק,Class IB,,,3,3,0,COR,1296,3,II,"ממס, תרופות",454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
פירידין,Pyridine,C₅H₅N,110-86-1,20,115,1.8,12.4,482,16,0.98,2.73,מסיס,,נוזלים דליקים,Class IC,,נוזל דליק,Class IC,,,2,3,0,,1282,3,II,ממס,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
N-nitrosodimethylamine,N-Nitrosodimethylamine,C₂H₆N₂O,62-75-9,לא דליק,152,,,,2.7,1.01,2.58,מסיס,,לא דליק,,מסרטן חזק,לא רלוונטי,,,,3,0,0,,?,6.1,I,מסרטן,,,,,,,,,
הידרזין,Hydrazine,N₂H₄,302-01-2,38,114,2.5,100,24,10,1.01,1.1,מסיס,,נוזלים בעירים,Class IC,רעיל+קורוזיבי,נוזל דליק,Class IC,,570,3,3,3,COR,2029,8,I,דלק רקטות,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
מתיל הידרזין,Methyl Hydrazine,CH₆N₂,60-34-4,-8,87,2.5,97,194,38,0.87,1.59,מסיס,,נוזלים דליקים,Class IB,רעיל+מסרטן,נוזל דליק,Class IB,,,4,3,3,COR,1244,6.1,I,דלק רקטות,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
טטראכלוריד סיליקון,Silicon Tetrachloride,SiCl₄,10026-04-7,לא דליק,57,,,,200,1.48,5.86,מגיב אלים,,לא דליק,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1818,8,I,מוליכים למחצה,,,,,,,,,
חומצה ברומית 48%,Hydrobromic Acid 48%,HBr,10035-10-6,לא דליק,122,,,,5,1.49,,מסיס,<1,חומרים קורוזיביים,,,לא רלוונטי,,,,3,0,0,COR,1788,8,II,קורוזיבי חזק,454,454,113.5,113.5,227,227,N/A,Corrosive Material,"מ""ק"
חומצה יודית,Iodic Acid,HIO₃,7553-56-2,מוצק,מתפרק,,,,נמוך,4.93,,מסיס מעט,,חומרים מחמצנים,Class 4,,לא רלוונטי,,,,3,0,1,OX,1744,8,I,מחמצן חזק,,,,,,,,,
ברום נוזלי,Liquid Bromine,Br₂,7726-95-6,לא דליק,59,,,,175,3.12,5.5,לא מסיס,,לא דליק,,מחמצן+רעיל+קורוזיבי,לא רלוונטי,,,,3,0,0,OX COR,1744,8,I,כימיקלים,,,,,,,,,
טטראאתיל עופרת,Tetraethyl Lead,C₈H₂₀Pb,78-00-2,לא דליק,110,,,,0.2,1.65,11.2,לא מסיס,,לא דליק,,רעיל מאוד,לא רלוונטי,,,,4,1,2,,1649,6.1,I,היסטורי-בנזין,,,,,,,,,
טטרמתיל עופרת,Tetramethyl Lead,C₄H₁₂Pb,75-74-1,38,110,,,,92,1.99,9.2,לא מסיס,,נוזלים בעירים,Class IC,רעיל מאוד,נוזל דליק,Class IC,,,4,3,2,,1649,6.1,I,היסטורי-בנזין,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
קוואטרניום-15 (פורמלדהיד),Quaternium-15,C₁₃H₁₈ClN₂O₂,4080-31-3,מוצק,>100,,,,נמוך,?,,מסיס,,מוצקים בעירים,,,לא רלוונטי,,,,2,1,1,,?,,,משחרר פורמלדהיד,,,,,,,,,"ק""ג"
שמן צמחי,Vegetable Oil,תערובת,משתנה,316,משתנה,,,343,<1,0.92,,לא מסיס,,נוזלים בעירים,Class IIIB,,נוזל בעיר,Class IIIB,,,1,1,0,,לא רלוונטי,,,"מזון, הצתה עצמית",454.2,454.2,,,,,3,Combustible Liquid II,ליטר
שמן מינרלי,Mineral Oil,תערובת,8042-47-5,204,310,,,260,<1,0.87,,לא מסיס,,נוזלים בעירים,Class IIIB,,נוזל בעיר,Class IIIB,,,0,1,0,,לא רלוונטי,,,סיכה,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
מנוע דיזל 2,Diesel Fuel #2,תערובת,68476-34-6,52,282,,,210,<1,0.85,,לא מסיס,,נוזלים בעירים,Class II,,נוזל בעיר,Class II,,,0,2,0,,1202,,,דלק,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
נפט (Jet A),Jet Fuel (Jet A),תערובת,8008-20-6,38,196,0.7,5.0,210,2,0.81,4.5,לא מסיס,,נוזלים בעירים,Class IC,,נוזל דליק,Class IC,,,0,3,0,,1223,3,II,דלק מטוסים,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
פרפין נוזלי,Liquid Paraffin,CₙH₂ₙ₊₂,8012-95-1,199,343,,,245,<1,0.80,,לא מסיס,,נוזלים בעירים,Class IIIB,,נוזל בעיר,Class IIIB,,,0,1,0,,לא רלוונטי,,,"רפואה, קוסמטיקה",454.2,454.2,,,,,3,Combustible Liquid II,ליטר
אתנול מפומר,Denatured Ethanol,C₂H₅OH,64-17-5,13,78,3.3,19,363,44,0.79,1.59,מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,0,3,0,,1170,3,II,מפומר - לא למשקאות,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
נפתלן,Naphthalene,C₁₀H₈,91-20-3,79,218,0.9,5.9,526,0.08,1.15,4.42,לא מסיס,,מוצקים דליקים,,,לא רלוונטי,,,,2,2,0,,1334,4.1,III,כדורי נפתלין,56.8,,56.8,,11.4,,3,Flammable Solid,"מ""ק"
אנתרצן,Anthracene,C₁₄H₁₀,120-12-7,121,340,,,540,<0.01,1.28,,לא מסיס,,מוצקים דליקים,,,לא רלוונטי,,,,1,1,0,,?,,,צבעים,56.8,,56.8,,11.4,,3,Flammable Solid,"מ""ק"
הידרוקינון,Hydroquinone,C₆H₆O₂,123-31-9,165,287,,,515,<0.1,1.33,,מסיס,,מוצקים בעירים,,מחמצן חלש,לא רלוונטי,,,,2,1,0,,2662,6.1,III,"צילום, נוגד חמצון",,,,,,,,,"ק""ג"
גלוקוז,Glucose,C₆H₁₂O₆,50-99-7,מוצק,מתפרק,,,400,<0.01,1.54,,מסיס,,אבק דליק,,,לא רלוונטי,,,,1,1,0,,לא רלוונטי,,,מזון,,,,,,,,,
עמילן,Starch,(C₆H₁₀O₅)ₙ,9005-25-8,מוצק,מתפרק,,,380,<0.01,1.5,,לא מסיס,,אבק דליק,,,לא רלוונטי,,,,1,1,0,,לא רלוונטי,,,מזון,,,,,,,,,
מלתיון,Malathion,C₁₀H₁₉O₆PS₂,121-75-5,נוזל,>163,,,,<0.01,1.23,,לא מסיס,,לא דליק,,רעיל,לא רלוונטי,,,,2,0,0,,2783,6.1,III,קוטל חרקים,,,,,,,,,
פראתיון,Parathion,C₁₀H₁₄NO₅PS,56-38-2,נוזל,120,,,,<0.01,1.27,,לא מסיס,,לא דליק,,רעיל מאוד,לא רלוונטי,,,,4,0,0,,3018,6.1,I,קוטל חרקים,,,,,,,,,
DDT,DDT,C₁₄H₉Cl₅,50-29-3,מוצק,לא דליק,,,,<0.01,1.55,,לא מסיס,,מוצק,,רעיל,לא רלוונטי,,,,2,0,0,,2761,6.1,II,היסטורי - אסור,,,,,,,,,"ק""ג"
גליפוסט,Glyphosate,C₃H₈NO₅P,1071-83-6,מוצק,לא דליק,,,,<0.01,1.70,,מסיס,,מוצק,,רעיל קל,לא רלוונטי,,,,1,0,0,,3077,9,III,קוטל עשבים,,,,,,,,,"ק""ג"
פרקוואט,Paraquat,C₁₂H₁₄N₂,4685-14-7,מוצק,לא דליק,,,,<0.01,?,,מסיס,,מוצק,,רעיל מאוד,לא רלוונטי,,,,4,0,0,,2781,6.1,II,קוטל עשבים,,,,,,,,,"ק""ג"
R-134a (טטרפלואורואתאן),R-134a,C₂H₂F₄,811-97-2,גז,-26,,,,לא רלוונטי,1.21,3.52,מסיס מעט,,גז לא דליק,,,לא רלוונטי,,,,1,0,0,,3159,2.2,,קירור,,,,,28.3,,2,Flammable Gas,"מ""ק"
R-410A (תערובת),R-410A,תערובת,?,גז,משתנה,,,,לא רלוונטי,1.06,2.5,לא מסיס,,גז לא דליק,,,לא רלוונטי,,,,1,0,0,,3163,2.2,,קירור,,,,,28.3,,2,Flammable Gas,"מ""ק"
R-22 (כלורודיפלואורומתאן),R-22,CHClF₂,75-45-6,גז,לא דליק,,,,לא רלוונטי,1.49,3.0,מסיס מעט,,גז לא דליק,,,לא רלוונטי,,,,1,0,0,,1018,2.2,,קירור - פאזאאוט,,,,,28.3,,2,Flammable Gas,"מ""ק"
UDMH (דימתיל הידרזין),UDMH,C₂H₈N₂,57-14-7,15,63,2.0,95,249,120,0.79,2.07,מסיס,,נוזלים דליקים,Class IB,רעיל+מסרטן,נוזל דליק,Class IB,,,4,3,3,COR,1163,6.1,I,דלק רקטות,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
MMH (מונומתיל הידרזין),MMH,CH₆N₂,60-34-4,-8,87,2.5,97,194,38,0.87,1.59,מסיס,,נוזלים דליקים,Class IB,רעיל מאוד,נוזל דליק,Class IB,,,4,3,3,COR,1244,6.1,I,דלק רקטות,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
חנקתי אמוניום,Ammonium Nitrate,NH₄NO₃,6484-52-2,מוצק,170,,,210,נמוך,1.72,,מסיס,,חומרים מחמצנים,Class 1,חומר נפץ,לא רלוונטי,,,,1,0,3,OX,1942,5.1,III,"דשן, ANFO",,,,,,,,,
אמוניה ביתית 10%,Household Ammonia 10%,NH₃,1336-21-6,נוזל,לא דליק,,,,נמוך,0.96,,מסיס,11,לא דליק,,קורוזיבי קל,לא רלוונטי,,,,2,0,0,COR,לא רלוונטי,,,ניקוי ביתי,,,,,,,,,
כלורי נתרן 5%,Sodium Hypochlorite 5%,NaClO,7681-52-9,נוזל,לא דליק,,,,נמוך,1.07,,מסיס,13,לא דליק,,מחמצן+קורוזיבי חלש,לא רלוונטי,,,,2,0,1,OX COR,1791,8,III,הלבנה ביתית,,,,,,,,,
תכלת מתילן,Methylene Blue,C₁₆H₁₈ClN₃S,61-73-4,מוצק,לא דליק,,,,<0.01,?,,מסיס,,מוצק,,,לא רלוונטי,,,,1,0,0,,לא רלוונטי,,,"צבע, רפואה",,,,,,,,,"ק""ג"
יוד רדיואקטיבי I-131,Iodine-131,¹³¹I,10043-66-0,מוצק,לא דליק,,,,נמוך,4.93,,מסיס,,חומר רדיואקטיבי,,,לא רלוונטי,,,,2,0,0,RAD,2915,7,,רפואה גרעינית,,,,,,,,,
ונילין,Vanillin,C₈H₈O₃,121-33-5,מוצק,147,,,285,<0.01,1.06,,מסיס מעט,,מוצקים בעירים,,,לא רלוונטי,,,,1,1,0,,לא רלוונטי,,,טעם וריח,,,,,,,,,"ק""ג"
לימונן,Limonene,C₁₀H₁₆,5989-27-5,45,176,0.7,6.1,237,1.5,0.84,4.7,לא מסיס,,נוזלים בעירים,Class IIIA,,נוזל בעיר,Class IIIA,,,1,2,0,,2052,3,III,"ממס, בושם",454.2,454.2,,,,,3,Combustible Liquid II,ליטר
DOP (דיאוקטיל פתלט),DOP,C₂₄H₃₈O₄,117-81-7,207,384,,,402,<0.01,0.99,,לא מסיס,,נוזלים בעירים,Class IIIB,,נוזל בעיר,Class IIIB,,,1,1,0,,לא רלוונטי,,,פלסטיפיקטור,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
DEHP (דיאתילהקסיל פתלט),DEHP,C₂₄H₃₈O₄,117-81-7,218,390,,,385,<0.01,0.99,,לא מסיס,,נוזלים בעירים,Class IIIB,,נוזל בעיר,Class IIIB,,,1,1,0,,לא רלוונטי,,,פלסטיפיקטור PVC,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
tert-butyl hydroperoxide,tert-Butyl Hydroperoxide,C₄H₁₀O₂,75-91-2,27,89,,,200,13,0.90,3.1,מסיס,,פרוקסידים אורגניים,Class III,נוזל דליק,נוזל דליק,Class IC,,,3,3,3,OX,2093,5.2,II,יוזם פולימריזציה,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
lauroyl peroxide,Lauroyl Peroxide,C₂₄H₄₆O₄,105-74-8,100,מתפרק,,,,<0.01,?,,לא מסיס,,פרוקסידים אורגניים,Class II,,לא רלוונטי,,,,2,1,4,OX,2124,5.2,II,פלסטיק,7.3,7.3,3.6,3.6,3.6,3.6,2,Class I,"מ""ק"
peracetic acid 40%,Peracetic Acid,C₂H₄O₃,79-21-0,41,105,,,,5,1.15,2.6,מסיס,2.8,פרוקסידים אורגניים,Class II,קורוזיבי,נוזל בעיר,Class IC,,,3,2,3,OX COR,3105,5.2,II,חיטוי,454.2,454.2,,,,,3,Flammable Liquid IC,ליטר
hexamethylene diisocyanate,Hexamethylene Diisocyanate,C₈H₁₂N₂O₂,822-06-0,140,255,,,,<0.01,1.05,5.8,מגיב,,נוזלים בעירים,Class IIIB,רעיל,נוזל בעיר,Class IIIB,,,3,1,2,,2281,6.1,II,פוליאוריתן,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
isophorone diisocyanate,Isophorone Diisocyanate,C₁₂H₁₈N₂O₂,4098-71-9,155,158,,,,<0.01,1.06,7.3,לא מסיס,,נוזלים בעירים,Class IIIB,רעיל,נוזל בעיר,Class IIIB,,,3,1,1,,2290,6.1,III,ציפויים,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
dimethyl sulfate,Dimethyl Sulfate,C₂H₆O₄S,77-78-1,83,188,,,,0.5,1.33,4.4,מגיב,,נוזלים בעירים,Class IIIA,רעיל+מסרטן,נוזל בעיר,Class IIIA,,,4,2,0,COR,1595,6.1,I,מתילציה,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
diethyl sulfate,Diethyl Sulfate,C₄H₁₀O₄S,64-67-5,104,209,,,,0.2,1.18,5.3,מסיס מעט,,נוזלים בעירים,Class IIIA,מסרטן,נוזל בעיר,Class IIIA,,,3,2,0,,1594,6.1,I,אתילציה,454.2,454.2,,,,,3,Combustible Liquid II,ליטר
bromine trifluoride,Bromine Trifluoride,BrF₃,7787-71-5,לא דליק,127,,,,90,2.80,4.8,מגיב אלים,,גז,,מחמצן+רעיל+קורוזיבי,לא רלוונטי,,,,4,0,3,OX W COR,1746,5.1,I,פלואורינציה,,,,,,,,,
iodine pentafluoride,Iodine Pentafluoride,IF₅,7783-66-6,לא דליק,100,,,,80,3.19,7.8,מגיב אלים,,נוזל,,מחמצן+רעיל+קורוזיבי,לא רלוונטי,,,,4,0,3,OX W COR,2495,5.1,I,פלואורינציה,,,,,,,,,ליטר
chlorine trifluoride,Chlorine Trifluoride,ClF₃,7790-91-2,לא דליק,12,,,,680,1.77,3.1,מגיב אלים,,גז,,מחמצן חזק+רעיל,לא רלוונטי,,,,4,0,4,OX W COR,1749,2.3,,חומר מחמצן חזק,,,,,,,,,
trimethylaluminum,Trimethylaluminum,C₃H₉Al,75-24-1,גז,126,,,,נמוך,0.75,2.5,מגיב אלים,,נוזל פירוטכני,,פירוטכני,נוזל דליק,Class IB,,,4,4,3,W,3051,4.2,I,קטליזטור,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
triethylaluminum,Triethylaluminum,C₆H₁₅Al,97-93-8,נוזל,186,,,,<1,0.83,4.0,מגיב אלים,,נוזל פירוטכני,,פירוטכני,לא רלוונטי,,,,4,4,3,W,3051,4.2,I,פולימרים,4.5,4.5,0.9,0.9,4.5,4.5,2,Pyrophoric Material,"מ""ק"
n-butyllithium,n-Butyllithium,C₄H₉Li,109-72-8,נוזל,80,,,,נמוך,0.68,2.1,מגיב אלים,,נוזל פירוטכני,,פירוטכני+דליק,נוזל דליק,Class IB,,,3,4,3,W,2445,4.2,I,ריאגנט,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
diethylzinc,Diethylzinc,C₄H₁₀Zn,557-20-0,נוזל,118,,,,15,1.21,4.3,מגיב אלים,,נוזל פירוטכני,,פירוטכני,נוזל דליק,Class IB,,,4,4,3,W,3394,4.2,I,קטליזטור,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
silane,Silane,SiH₄,7803-62-5,גז,-112,1.4,98,,לא רלוונטי,?,1.1,מגיב,,גז דליק פירוטכני,,פירוטכני,לא רלוונטי,,,,2,4,3,,2203,2.1,,מוליכים למחצה,,,,,28.3,,2,Flammable Gas,"מ""ק"
dichlorosilane,Dichlorosilane,H₂SiCl₂,4109-96-0,גז,-70,,,,לא רלוונטי,1.22,3.5,מגיב אלים,,גז דליק,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,4,2,W COR,2189,2.3,,סיליקון,,,,,28.3,,2,Flammable Gas,"מ""ק"
trichlorosilane,Trichlorosilane,HSiCl₃,10025-78-2,נוזל,-50,32,,,270,1.34,4.7,מגיב אלים,,נוזל דליק,Class IA,רגיש למים+קורוזיבי,נוזל דליק,Class IA,,,3,4,2,W COR,1295,4.3,I,פוליסיליקון,113.6,113.6,,,,,3,Flammable Liquid IA,ליטר
arsine,Arsine,AsH₃,7784-42-1,גז,-62,,,230,לא רלוונטי,?,2.7,מסיס מעט,,גז רעיל,,גז רעיל מאוד,לא רלוונטי,,3,,4,4,2,,2188,2.3,,מוליכים למחצה,227,227,4.5,4.5,113.5,113.5,3,Toxic Material,"מ""ק"
phosphine,Phosphine,PH₃,7803-51-2,גז,-88,,,100,לא רלוונטי,?,1.2,מסיס מעט,,גז דליק רעיל,,רעיל+פירוטכני,לא רלוונטי,,11,,4,4,2,,2199,2.3,,חיטוי,,,,,28.3,,2,Flammable Gas,"מ""ק"
stibine,Stibine,SbH₃,7803-52-3,גז,-88,,,,לא רלוונטי,?,4.3,לא מסיס,,גז רעיל דליק,,רעיל מאוד,לא רלוונטי,,,,4,4,2,,2676,2.3,,מוליכים למחצה,,,,,28.3,,2,Flammable Gas,"מ""ק"
nickel carbonyl,Nickel Carbonyl,Ni(CO)₄,13463-39-3,נוזל,60,43,2.0,34,116,400,1.31,5.9,לא מסיס,,נוזל דליק,Class IIIA,רעיל מאוד+מסרטן,נוזל בעיר,Class IIIA,,,4,3,0,,1259,6.1,I,454.2,1249,,,,,3,Use: See Note 1,ליטר
iron pentacarbonyl,Iron Pentacarbonyl,Fe(CO)₅,13463-40-6,נוזל,-20,103,3.7,,245,21,1.46,6.9,לא מסיס,,נוזל דליק,Class IB,רעיל מאוד,נוזל דליק,Class IB,,,4,3,2,,1994,6.1,I,454.2,454.2,,,,,3,Use: See Note 1,ליטר
1-ethyl-3-methylimidazolium,1-Ethyl-3-methylimidazolium,C₆H₁₁N₂⁺,משתנה,>100,>200,,,,<0.01,1.0,,מסיס,,נוזל,,ממס ירוק,לא רלוונטי,,,,1,0,0,,לא רלוונטי,,,ממס,,,,,,,,,ליטר
"2,4-dinitrotoluene","2,4-Dinitrotoluene",C₇H₆N₂O₄,121-14-2,מוצק,207,300,,,,<0.01,1.32,,לא מסיס,,מוצק,,רעיל+חומר נפץ,לא רלוונטי,,,,2,1,3,,1600,6.1,II,,,,,,,,,
"2,4,6-trinitrophenol (picric)","2,4,6-Trinitrophenol",C₆H₃N₃O₇,88-89-1,מוצק,150,מתפרק,,,300,<0.01,1.76,,מסיס מעט,,חומר נפץ,Division 1.1D,,לא רלוונטי,,,,3,4,4,,0154,1.1D,,,,,,,,,,
aluminum chloride,Aluminum Chloride,AlCl₃,7446-70-0,מוצק,סובלימציה,178,,,,<1,2.44,,מגיב אלים,,מוצק,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1726,8,II,,,,,,,,,
antimony pentachloride,Antimony Pentachloride,SbCl₅,7647-18-9,נוזל,לא דליק,140,,,,135,2.34,7.9,מגיב אלים,,נוזל,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1730,8,II,,,,,,,,,
titanium tetrachloride,Titanium Tetrachloride,TiCl₄,7550-45-0,נוזל,לא דליק,136,,,,10,1.73,6.6,מגיב אלים,,נוזל,,רגיש למים+קורוזיבי,לא רלוונטי,,,,3,0,2,W COR,1838,8,I,,,,,,,,,
ethylene oxide,Ethylene Oxide,C₂H₄O,75-21-8,גז,-20,11,3.0,100,429,1095,0.87,1.52,מסיס,,גז דליק,,לא יציב+מסרטן,נוזל דליק,Class IA,,800,3,4,3,,1040,2.3,,,,,,,,,,
propylene oxide,Propylene Oxide,C₃H₆O,75-56-9,נוזל,-37,34,2.3,36,445,445,0.83,2.0,מסיס,,נוזל דליק,Class IA,מסרטן+לא יציב,נוזל דליק,Class IA,,,3,4,3,,1280,3,I,113.6,113.6,,,,,3,Use: See Note 1,ליטר
perchloric acid 70%,Perchloric Acid 70%,HClO₄,7601-90-3,נוזל,לא דליק,130,,,,6.5,1.67,,מסיס,<1,חומצה,,מחמצן Class 4+קורוזיבי,לא רלוונטי,,,,3,0,4,OX COR,1802,5.1,I,,,,,,,,,
hydrofluoric acid 70%,Hydrofluoric Acid 70%,HF,7664-39-3,נוזל,לא דליק,120,,,,25,1.15,,מסיס,<1,חומצה,,רעיל מאוד+קורוזיבי,לא רלוונטי,,,,4,0,0,COR,1790,8,I,,,,,,,,,
fuming nitric acid,Fuming Nitric Acid,HNO₃,7697-37-2,נוזל,לא דליק,83,,,,48,1.50,,מסיס,<1,חומצה,,מחמצן Class 3+קורוזיבי,לא רלוונטי,,,,4,0,2,OX COR,2032,8,I,,,,,,,,,
uranium hexafluoride,Uranium Hexafluoride,UF₆,7783-81-5,מוצק,לא דליק,56,,,,סובלימציה,5.09,13,מגיב,,מוצק רדיואקטיבי,,רדיואקטיבי+קורוזיבי,לא רלוונטי,,,,3,0,1,RAD COR,2978,8,I,,,,,,,,,
carbon nanotubes,Carbon Nanotubes,C,משתנה,מוצק,>600,,,,<0.01,~2.0,,לא מסיס,,מוצק דליק,,סיכון נשימתי,לא רלוונטי,,,,2,1,0,,?,,,ננו-חומר,56.8,,56.8,,11.4,,3,Flammable Solid,"מ""ק"
sulfuryl fluoride,Sulfuryl Fluoride,SO₂F₂,2699-79-8,גז,-55,,,,לא רלוונטי,?,3.5,לא מסיס,,גז רעיל,,,לא רלוונטי,,3000,,3,0,0,,2191,2.3,,חיטוי מבנים,227,227,4.5,4.5,113.5,113.5,3,Toxic Material,"מ""ק"
carbonyl fluoride,Carbonyl Fluoride,COF₂,353-50-4,גז,לא דליק,-83,,,,לא רלוונטי,?,2.3,מגיב,,גז רעיל,,קורוזיבי,לא רלוונטי,,,,4,0,0,COR,2417,2.3,,,,,,,,,,
JP-8 jet fuel,JP-8,תערובת,?,נוזל,38,180,0.6,4.7,210,2,0.80,4.5,לא מסיס,,נוזל דליק,Class IC,,נוזל דליק,Class IC,,,1,2,0,,1863,3,III,454.2,454.2,,,,,3,Use: See Note 1,ליטר
JP-5 jet fuel,JP-5,תערובת,?,נוזל,60,220,0.7,4.8,230,1,0.81,4.6,לא מסיס,,נוזל בעיר,Class IIIA,,נוזל בעיר,Class IIIA,,,1,2,0,,1863,3,III,454.2,1249,,,,,3,Use: See Note 1,ליטר
biodiesel (B100),Biodiesel,C₁₈-C₂₂,משתנה,נוזל,130,350,,,,<1,0.88,,לא מסיס,,נוזל בעיר,Class IIIA,,נוזל בעיר,Class IIIA,,,0,2,0,,לא רלוונטי,,,454.2,1249,,,,,3,Use: See Note 1,ליטר
formic acid 90%,Formic Acid,HCOOH,64-18-6,נוזל,69,101,18,57,520,35,1.22,1.59,מסיס,2.0,נוזל בעיר,Class IIIA,קורוזיבי,נוזל בעיר,Class IIIA,,,3,2,0,COR,1779,8,II,454.2,1249,,,,,3,Use: See Note 1,ליטר
oxalic acid,Oxalic Acid,C₂H₂O₄,144-62-7,מוצק,לא דליק,189,,,,<0.01,1.90,,מסיס,1.3,מוצק,,רעיל+קורוזיבי,לא רלוונטי,,,,3,1,0,,3261,6.1,III,,,,,,,,,
citric acid,Citric Acid,C₆H₈O₇,77-92-9,מוצק,לא דליק,153,,,,<0.01,1.67,,מסיס,2.2,מוצק,,,לא רלוונטי,,,,1,1,0,,לא רלוונטי,,,,,,,,,,,
potassium hydroxide 50%,Potassium Hydroxide,KOH,1310-58-3,נוזל,לא דליק,140,,,,נמוך,1.52,,מסיס,14,נוזל קורוזיבי,,,לא רלוונטי,,,,3,0,1,COR,1814,8,II,,,,,,,,,
sodium hydroxide 50%,Sodium Hydroxide,NaOH,1310-73-2,נוזל,לא דליק,145,,,,נמוך,1.53,,מסיס,14,נוזל קורוזיבי,,,לא רלוונטי,,,,3,0,1,COR,1824,8,II,,,,,,,,,
tetramethylammonium hydroxide,TMAH,C₄H₁₃NO,75-59-2,נוזל,לא דליק,130,,,,<1,0.92,,מסיס,14,בסיס,,רעיל+קורוזיבי,לא רלוונטי,,,,4,1,0,COR,1835,8,II,,,,,,,,,
mercaptans mixture,Mercaptans,RSH,משתנה,נוזל,-30,90,1.0,,,100,0.85,2.5,לא מסיס,,נוזל דליק,Class IB,,נוזל דליק,Class IB,,,3,3,0,,1228,3,II,454.2,454.2,,,,,3,Use: See Note 1,ליטר
